restaurant_id,restaurant_name,image_url,is_closed,url,review_count,rating,categories,transactions,price,display_phone,distance,coordinates_latitude,coordinates_longitude,location_address1,location_address2,location_address3,location_city,location_zip_code,location_country,location_state,location_display_address,queried_date,queried_term,queried_location,sort_by,attributes,cuisine_0,cuisine_1,cuisine_2,price_num,review_count_bins,neighborhood
zZHxD7sxxUyAx-6BstdUKQ,Bricklane Chip shop,https://s3-media4.fl.yelpcdn.com/bphoto/kNTvbt7QxyWdJXaaICViMg/o.jpg,False,https://www.yelp.com/biz/bricklane-chip-shop-queens-4?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,6,3.0,"Fish & Chips, Seafood, Food Delivery Services","pickup, delivery",,,7595.072035299521,40.7474487,-73.92321919999999,,,,Queens,11104,US,NY,"Queens, NY 11104",,,,,,Fish & Chips, Seafood, Food Delivery Services,,0-10,Northwest Queens
r2lHkax9RZ3SkmAh2mzWtw,Maya's Fish and Chips,https://s3-media2.fl.yelpcdn.com/bphoto/1VKY7ZmjbFxq96AsjKwFZg/o.jpg,False,https://www.yelp.com/biz/mayas-fish-and-chips-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,3,1.5,"Food Delivery Services, Seafood, Fish & Chips","pickup, delivery",,(646) 918-6877,1946.5010847113056,40.722491,-73.989131,201 Allen St,,,New York,10002,US,NY,"201 Allen St, New York, NY 10002",,,,,,Food Delivery Services, Seafood, Fish & Chips,,0-10,Lower East Side
PIiDCtcfxsN3PpSjJLWtvg,Geno's Fish and Chips,https://s3-media1.fl.yelpcdn.com/bphoto/DT1oh69aTTc6P6wG_vk8hA/o.jpg,False,https://www.yelp.com/biz/genos-fish-and-chips-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,6,4.0,"Fish & Chips, Seafood","pickup, delivery",,(347) 404-7241,4331.621472023791,40.68521,-73.9504,369B Nostrand Ave,,,New York,11216,US,NY,"369B Nostrand Ave, New York, NY 11216",,,,,,Fish & Chips, Seafood,,,0-10,Central Brooklyn
AFcjvmHY_8bRALxdIE2dwQ,TJ Byrnes Bar & Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/z7tIiG_8BqbSLZhSNPXJjQ/o.jpg,False,https://www.yelp.com/biz/tj-byrnes-bar-and-restaurant-new-york-3?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,37,4.0,"American, Irish Pub, Burgers","pickup, delivery",$$,(212) 406-4551,961.4629907483344,40.709099,-74.004631,77 Fulton St,,,New York,10038,US,NY,"77 Fulton St, New York, NY 10038",,,,,,American, Irish Pub, Burgers,2.0,11-50,Lower Manhattan
mqfgLghfxNTIWSkM7Qa7aQ,Bluestone Lane Chelsea Piers Café,https://s3-media1.fl.yelpcdn.com/bphoto/cD0yl_pdA9cRcr1Mi16hSA/o.jpg,False,https://www.yelp.com/biz/bluestone-lane-chelsea-piers-caf%C3%A9-new-york-4?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,47,4.0,"Cafes, Coffee & Tea, Australian","pickup, delivery",$$,(718) 374-6858,4944.084162222198,40.74853796516731,-74.0087462905547,62 Chelsea Piers Pier 62,,,New York,10011,US,NY,"62 Chelsea Piers Pier 62, New York, NY 10011",,,,,,Cafes, Coffee & Tea, Australian,2.0,11-50,Chelsea and Clinton
BgOtbs4T6HJjsbbe3kOurQ,Bluestone Lane,https://s3-media2.fl.yelpcdn.com/bphoto/5CxiYqPUQaeNMvI6VjiXsA/o.jpg,False,https://www.yelp.com/biz/bluestone-lane-new-york-51?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,266,3.5,"Coffee & Tea, Breakfast & Brunch, Juice Bars & Smoothies","pickup, delivery",$,(718) 374-6858,5673.71964174482,40.755601,-73.982871,1120 6th Ave,,,New York,10036,US,NY,"1120 6th Ave, New York, NY 10036",,,,,,Coffee & Tea, Breakfast & Brunch, Juice Bars & Smoothies,1.0,201-500,Chelsea and Clinton
jNwI69XCHnPfxlnpHXO0sg,Lantern's Keep,https://s3-media4.fl.yelpcdn.com/bphoto/Mks6dZRdZPl0XaWFB86SZA/o.jpg,False,https://www.yelp.com/biz/lanterns-keep-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,210,4.0,Cocktail Bars,,$$$,(212) 453-4287,5699.947496307287,40.7558543624672,-73.9820153558197,49 W 44th St,,Iroquois Hotel,New York,10036,US,NY,"49 W 44th St, Iroquois Hotel, New York, NY 10036",,,,,,Cocktail Bars,,,3.0,201-500,Chelsea and Clinton
unM0xvrJ-IpkkpRmlFbxiA,Nunu Ethiopian,https://s3-media2.fl.yelpcdn.com/bphoto/S_XMAq1ty813o2qdFCEDKQ/o.jpg,False,https://www.yelp.com/biz/nunu-ethiopian-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,2,4.5,"Ethiopian, Grocery",,,(917) 250-0242,15401.265721107917,40.83741,-73.93894,2100 Amsterdam Ave,,,New York,10032,US,NY,"2100 Amsterdam Ave, New York, NY 10032",,,,,,Ethiopian, Grocery,,,0-10,Inwood and Washington Heights
DCmw4cNrV-JZM6CGVB6DfQ,Vegan Shop Up,https://s3-media2.fl.yelpcdn.com/bphoto/lt7owRrwnm-r9mMf_hZpKQ/o.jpg,False,https://www.yelp.com/biz/vegan-shop-up-brooklyn?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,26,4.5,Vegan,,$$,,5182.944749226656,40.7054685975945,-73.9328064747926,12 Grattan St,,,Brooklyn,11206,US,NY,"12 Grattan St, Brooklyn, NY 11206",,,,,,Vegan,,,2.0,11-50,Bushwick and Williamsburg
wZkZmjZEJDraLJgAalnHvA,Pisticci,https://s3-media1.fl.yelpcdn.com/bphoto/jjLF4tqJplE19ZqY0bi9Gw/o.jpg,False,https://www.yelp.com/biz/pisticci-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,1056,4.0,"Italian, Venues & Event Spaces, Vegetarian","pickup, delivery",$$,(212) 932-3500,12442.615437162322,40.8141624,-73.960288,125 La Salle St,,,New York,10027,US,NY,"125 La Salle St, New York, NY 10027",,,,,,Italian, Venues & Event Spaces, Vegetarian,2.0,1001-5000,Central Harlem
iO5hCiRUEpf3Wfe8EQrfxQ,Alt Eats Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/3x8YKAmv4GWOZrpiqfswBw/o.jpg,False,https://www.yelp.com/biz/alt-eats-cafe-ho-ho-kus?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,91,4.0,"Coffee & Tea, Vegan, Vegetarian","pickup, delivery",$$,(201) 444-1300,33852.78321934322,40.99694,-74.11049,622 N Maple Ave,,,Ho-Ho-Kus,7423,US,NJ,"622 N Maple Ave, Ho-Ho-Kus, NJ 07423",,,,,,Coffee & Tea, Vegan, Vegetarian,2.0,51-100,
KJtnW8SkpZH9Wt1U9J5tyQ,Ginza Don,https://s3-media4.fl.yelpcdn.com/bphoto/NFoKmsr3mAvt3o9nEueglQ/o.jpg,False,https://www.yelp.com/biz/ginza-don-flushing?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,14,5.0,Japanese,,,,15044.11171737678,40.75723,-73.82937,41-28 Main St,,,Flushing,11355,US,NY,"41-28 Main St, Flushing, NY 11355",,,,,,Japanese,,,,11-50,North Queens
qUs7Pgvjr8Et1m_mffToNQ,Goal Omakase Sushi,https://s3-media4.fl.yelpcdn.com/bphoto/qvNeUz8nTsif355KFnMR8A/o.jpg,False,https://www.yelp.com/biz/goal-omakase-sushi-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,3,4.5,"Sushi Bars, Japanese","pickup, delivery",,(646) 370-3496,8491.445471355175,40.77467611207381,-73.95175639539957,349 E 82nd St,,,New York,10028,US,NY,"349 E 82nd St, New York, NY 10028",,,,,,Sushi Bars, Japanese,,,0-10,Upper East Side
Krl8wqu9a8p-ttOLlAryfg,Kamasu Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/moPSiE1UKr00ZHT3LFSPgg/o.jpg,False,https://www.yelp.com/biz/kamasu-sushi-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,3,3.5,"Sushi Bars, Seafood, Wine Bars","pickup, delivery",,(212) 577-1119,994.4812304298874,40.707841616134914,-74.0056597,111 John St,Ste 2,,New York,10038,US,NY,"111 John St, Ste 2, New York, NY 10038",,,,,,Sushi Bars, Seafood, Wine Bars,,0-10,Lower Manhattan
BCg5O26hQnVX7OOepNLK6w,Blue Ribbon Sushi Bar at Hudson Eats,https://s3-media1.fl.yelpcdn.com/bphoto/TU9-1j6HptUOYXl-F-cA_w/o.jpg,False,https://www.yelp.com/biz/blue-ribbon-sushi-bar-hudson-eats-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,161,3.5,"Sushi Bars, Japanese","pickup, delivery",$$,(212) 786-0808,1941.494821954754,40.71239405599477,-74.015424,225 Liberty St,Hudson Eats,,New York,10281,US,NY,"225 Liberty St, Hudson Eats, New York, NY 10281",,,,,,Sushi Bars, Japanese,,2.0,101-200,
bBF9ZJZp6Dxoc2Qms4KmhQ,Shokudo 34,https://s3-media2.fl.yelpcdn.com/bphoto/PWdEhiUeEGB18egD7WMwLw/o.jpg,False,https://www.yelp.com/biz/shokudo-34-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,23,4.5,"Ramen, Desserts, Beer Bar","pickup, delivery",$$,(646) 678-3228,4681.626436457356,40.74611,-73.97943,138 E 34th St,,,New York,10016,US,NY,"138 E 34th St, New York, NY 10016",,,,,,Ramen, Desserts, Beer Bar,2.0,11-50,Gramercy Park and Murray Hill
Xb-NlVV5gYKX2Amd_WeWoQ,Tanoshi Bento,https://s3-media2.fl.yelpcdn.com/bphoto/xBWd5ocHYohpBo_Za8lwWg/o.jpg,False,https://www.yelp.com/biz/tanoshi-bento-new-york-2?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,72,4.0,"Japanese, Sushi Bars","pickup, delivery",$$,(917) 265-8254,7747.619794999075,40.76763,-73.95296,1372 York Ave,,,New York,10021,US,NY,"1372 York Ave, New York, NY 10021",,,,,,Japanese, Sushi Bars,,2.0,51-100,Upper East Side
oMDKIzPJWkh99UuUP_4ikg,MI-NE Deli,https://s3-media4.fl.yelpcdn.com/bphoto/aIpAGuRdgrI5DhCFBDhEbA/o.jpg,False,https://www.yelp.com/biz/mi-ne-deli-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,11,4.5,"Japanese, Delis, Grocery","pickup, delivery",,(917) 675-6942,3437.026494424644,40.73623,-73.99723,496 6th Ave,,,New York,10011,US,NY,"496 6th Ave, New York, NY 10011",,,,,,Japanese, Delis, Grocery,,11-50,Chelsea and Clinton
LOZ0SaAh2uAMkRD47j6bhQ,Wakuwaku,https://s3-media1.fl.yelpcdn.com/bphoto/bUXJuABpVc8U9xRq9aA6tg/o.jpg,False,https://www.yelp.com/biz/wakuwaku-brooklyn?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,100,3.5,Izakaya,delivery,,(347) 584-4577,5595.600080226466,40.6559047,-74.0067754,269 36th St,,,Brooklyn,11232,US,NY,"269 36th St, Brooklyn, NY 11232",,,,,,Izakaya,,,,51-100,Sunset Park
ulyoll6G7GmmWXzBPSD4mw,Kuu,https://s3-media2.fl.yelpcdn.com/bphoto/SmcTPCIssI-q7qaChX3-IQ/o.jpg,False,https://www.yelp.com/biz/kuu-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,109,4.0,"Ramen, Poke","pickup, delivery",$$,(646) 838-5828,7380.050462655954,40.7657667005563,-73.9577598497272,1275 1st Ave,,,New York,10065,US,NY,"1275 1st Ave, New York, NY 10065",,,,,,Ramen, Poke,,2.0,101-200,Upper East Side
l6ZFhrONGp0b80bxnOFiwg,Ogawa,https://s3-media3.fl.yelpcdn.com/bphoto/KjbGokbNgC1uH0drzXutzw/o.jpg,False,https://www.yelp.com/biz/ogawa-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,91,3.5,"Japanese, Sushi Bars","pickup, delivery",$$,(212) 533-6527,2425.0943478607733,40.7271957397461,-73.9922714233398,36 E 4th St,,,New York,10003,US,NY,"36 E 4th St, New York, NY 10003",,,,,,Japanese, Sushi Bars,,2.0,51-100,Lower East Side
OzNc8mJVDW14PJ8saGY_5A,Shihou Omakase  - Upper East Side,https://s3-media1.fl.yelpcdn.com/bphoto/HMkina0nLa-IoNZ1Cb-X2g/o.jpg,False,https://www.yelp.com/biz/shihou-omakase-upper-east-side-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,6,5.0,"Japanese, Sushi Bars, Soup",,,(212) 980-1299,8507.53567539289,40.77538873803865,-73.95336438757417,1586 2nd Ave,,,New York,10028,US,NY,"1586 2nd Ave, New York, NY 10028",,,,,,Japanese, Sushi Bars, Soup,,0-10,Upper East Side
1tee7X0yLzMmEYvyLLTSMw,Nikutei Futago,https://s3-media3.fl.yelpcdn.com/bphoto/6U52qw1LRtA8bVrLWRTIfA/o.jpg,False,https://www.yelp.com/biz/nikutei-futago-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,5,5.0,Japanese,,,,2045.6485482632304,40.72256,-74.00345,341 W Broadway,,,New York,10013,US,NY,"341 W Broadway, New York, NY 10013",,,,,,Japanese,,,,0-10,Greenwich Village and Soho
fKmSU3dUn8js5PHmN__lTg,Police Academy Cafeteria,https://s3-media3.fl.yelpcdn.com/bphoto/0WTS1JRIi478rKeBynTnqQ/o.jpg,False,https://www.yelp.com/biz/police-academy-cafeteria-flushing?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,10,2.5,Cafeteria,,$$,,15074.633177806269,40.768737,-73.836069,31-07 Downing St,,,Flushing,11354,US,NY,"31-07 Downing St, Flushing, NY 11354",,,,,,Cafeteria,,,2.0,0-10,North Queens
lrPVlVKfOmmSvSJIas3bPQ,Cafeteria at Lehman College,https://s3-media2.fl.yelpcdn.com/bphoto/kZDTgNVAW6-TraQU0KGxiA/o.jpg,False,https://www.yelp.com/biz/cafeteria-at-lehman-college-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,7,3.0,Cafeteria,,$,(718) 960-8000,21092.619662749148,40.8782605723615,-73.8909852497152,250 Bedford Park Blvd W,,,New York,10468,US,NY,"250 Bedford Park Blvd W, New York, NY 10468",,,,,,Cafeteria,,,1.0,0-10,Bronx Park and Fordham
jtUtTaVerNdh9mcP1JsYCg,Lenox Hill Cafeteria,https://s3-media1.fl.yelpcdn.com/bphoto/wPG7lWH_C5t_viRzmn7LZA/o.jpg,False,https://www.yelp.com/biz/lenox-hill-cafeteria-new-york?adjust_creative=zA0UH-Daa3gI8hoGVgsQqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zA0UH-Daa3gI8hoGVgsQqw,4,3.5,Cafeteria,,$,(212) 434-2953,8116.805832422786,40.7738805,-73.9607736,100 E 77th St,,,New York,10075,US,NY,"100 E 77th St, New York, NY 10075",,,,,,Cafeteria,,,1.0,0-10,Upper East Side
